x_m,y_m,yaw,curvature
94.518717,0.000000,0.000000000,0.000000000
95.058824,0.000000,0.000000000,0.000000000
95.598930,0.000000,0.000000000,0.000000000
96.139037,0.000000,0.000000000,0.000000000
96.679144,0.000000,0.000000000,0.000000000
97.219251,0.000000,0.000000000,0.000000000
97.759358,0.000000,0.000000000,0.000000000
98.299465,0.000000,0.000000000,0.000000000
98.839572,0.000000,0.000000000,0.000000000
99.379679,0.000000,0.000000000,0.000000000
99.919786,0.000000,0.000000000,0.000000000
100.459893,0.000000,0.000000000,0.000000000
101.000000,0.000000,0.000000000,0.000000000
101.540107,0.000000,0.000000000,0.000000000
102.080214,0.000000,0.000000000,0.000000000
102.620321,0.000000,0.000000000,0.000000000
103.160428,0.000000,0.000000000,0.000000000
103.700535,0.000000,0.000000000,0.000000000
104.240642,0.000000,0.000000000,0.000000000
104.780749,0.000000,0.000000000,0.000000000
105.320856,0.000000,0.000000000,0.000000000
105.860963,0.000000,0.000000000,0.000000000
106.401070,0.000000,0.000000000,0.000000000
106.941176,0.000000,0.000000000,0.000000000
107.481283,0.000000,0.000000000,0.000000000
108.021390,0.000000,0.000000000,0.000000000
108.561497,0.000000,0.000000000,0.000000000
109.101604,0.000000,0.000000000,0.000000000
109.641711,0.000000,0.000000000,0.000000000
110.181818,0.000000,0.000000000,0.000000000
110.721925,0.000000,0.000000000,0.000000000
111.262032,0.000000,0.000000000,0.000000000
111.802139,0.000000,0.000000000,0.000000000
112.342246,0.000000,0.000000000,0.000000000
112.882353,0.000000,0.000000000,0.000000000
113.422460,0.000000,0.000000000,0.000000000
113.962567,0.000000,0.000000000,0.000000000
114.502674,0.000000,0.000000000,0.000000000
115.042781,0.000000,0.000000000,0.000000000
115.582888,0.000000,0.000000000,0.000000000
116.122995,0.000000,0.000000000,0.000000000
116.663102,0.000000,0.000000000,0.000000000
117.203209,0.000000,0.000000000,0.000000000
117.743316,0.000000,0.000000000,0.000000000
118.283422,0.000000,0.000000000,0.000000000
118.823529,0.000000,0.000000000,0.000000000
119.363636,0.000000,0.000000000,0.000000000
119.903743,0.000000,0.000000000,0.000000000
120.443850,0.000000,0.000000000,0.000000000
120.983957,0.000000,0.000000000,0.000000000
121.524064,0.000000,0.000000000,0.000000000
122.064171,0.000000,0.000000000,0.000000000
122.604278,0.000000,0.000000000,0.000000000
123.144385,0.000000,0.000000000,0.000000000
123.684492,0.000000,0.000000000,0.000000000
124.224599,0.000000,0.000000000,0.000000000
124.764706,0.000000,0.000000000,0.000000000
125.304813,0.000000,0.000000000,0.000000000
125.844920,0.000000,0.000000000,0.000000000
126.385027,0.000000,0.000000000,0.000000000
126.925134,0.000000,0.000000000,0.000000000
127.465241,0.000000,0.000000000,0.000000000
128.005348,0.000000,0.000000000,0.000000000
128.545455,0.000000,0.000000000,0.000000000
129.085561,0.000000,0.000000000,0.000000000
129.625668,0.000000,0.000000000,0.000000000
130.165775,0.000000,0.000003433,0.000041444
130.705882,0.000015,0.000062281,0.000176471
131.245989,0.000081,0.000194059,0.000311497
131.786096,0.000237,0.000398765,0.000446524
132.326203,0.000524,0.000676400,0.000581551
132.866310,0.000981,0.001026964,0.000716578
133.406416,0.001647,0.001450457,0.000851604
133.946523,0.002561,0.001946879,0.000986631
134.486628,0.003763,0.002516230,0.001121658
135.026733,0.005292,0.003158510,0.001256684
135.566837,0.007188,0.003873718,0.001391711
136.106939,0.009490,0.004661855,0.001526738
136.647039,0.012237,0.005522922,0.001661765
137.187136,0.015469,0.006456917,0.001796791
137.727230,0.019225,0.007463841,0.001931818
138.267319,0.023545,0.008543694,0.002066845
138.807404,0.028467,0.009696475,0.002201872
139.347482,0.034032,0.010922186,0.002336898
139.887553,0.040278,0.012220825,0.002471925
140.427615,0.047246,0.013592394,0.002606952
140.967666,0.054974,0.015036891,0.002741979
141.507706,0.063501,0.016554317,0.002877005
142.047732,0.072868,0.018144672,0.003012032
142.587741,0.083113,0.019807956,0.003147059
143.127733,0.094277,0.021544169,0.003282086
143.667704,0.106397,0.023353311,0.003417112
144.207651,0.119514,0.025235381,0.003552139
144.747573,0.133667,0.027190381,0.003687166
145.287465,0.148895,0.029218309,0.003822193
145.827324,0.165238,0.031319166,0.003957219
146.367148,0.182734,0.033492952,0.004092246
146.906931,0.201423,0.035739667,0.004227273
147.446670,0.221345,0.038059311,0.004362299
147.986361,0.242539,0.040451884,0.004497326
148.525999,0.265043,0.042917385,0.004632353
149.065579,0.288898,0.045455816,0.004767380
149.605095,0.314141,0.048067175,0.004902406
150.144543,0.340813,0.050748661,0.005000000
150.683917,0.368940,0.053449196,0.005000000
151.223213,0.398522,0.056149730,0.005000000
151.762427,0.429561,0.058850265,0.005000000
152.301556,0.462056,0.061550800,0.005000000
152.840594,0.496007,0.064251335,0.005000000
153.379539,0.531414,0.066951869,0.005000000
153.918387,0.568276,0.069652404,0.005000000
154.457133,0.606592,0.072352939,0.005000000
154.995773,0.646364,0.075053474,0.005000000
155.534304,0.687590,0.077754008,0.005000000
156.072722,0.730270,0.080454543,0.005000000
156.611023,0.774404,0.083155078,0.005000000
157.149202,0.819992,0.085855613,0.005000000
157.687257,0.867033,0.088556147,0.005000000
158.225182,0.915526,0.091256682,0.005000000
158.762974,0.965473,0.093957217,0.005000000
159.300630,1.016871,0.096657752,0.005000000
159.838145,1.069721,0.099358287,0.005000000
160.375515,1.124022,0.102058821,0.005000000
160.912737,1.179775,0.104759356,0.005000000
161.449806,1.236978,0.107459891,0.005000000
161.986718,1.295631,0.110160426,0.005000000
162.523471,1.355734,0.112860960,0.005000000
163.060058,1.417286,0.115561495,0.005000000
163.596478,1.480287,0.118262030,0.005000000
164.132726,1.544737,0.120962565,0.005000000
164.668798,1.610634,0.123663099,0.005000000
165.204690,1.677979,0.126363634,0.005000000
165.740397,1.746771,0.129064169,0.005000000
166.275918,1.817009,0.131764704,0.005000000
166.811246,1.888693,0.134465238,0.005000000
167.346379,1.961823,0.137165773,0.005000000
167.881313,2.036397,0.139866308,0.005000000
168.416043,2.112416,0.142566843,0.005000000
168.950566,2.189879,0.145267377,0.005000000
169.484878,2.268784,0.147967912,0.005000000
170.018975,2.349133,0.150668447,0.005000000
170.552853,2.430923,0.153368982,0.005000000
171.086508,2.514155,0.156069516,0.005000000
171.619937,2.598828,0.158770051,0.005000000
172.153134,2.684941,0.161470586,0.005000000
172.686098,2.772494,0.164171121,0.005000000
173.218823,2.861485,0.166871655,0.005000000
173.751305,2.951915,0.169572190,0.005000000
174.283542,3.043783,0.172272725,0.005000000
174.815528,3.137087,0.174973260,0.005000000
175.347261,3.231828,0.177673795,0.005000000
175.878736,3.328004,0.180374329,0.005000000
176.409949,3.425616,0.183074864,0.005000000
176.940896,3.524661,0.185775399,0.005000000
177.471574,3.625140,0.188475934,0.005000000
178.001979,3.727052,0.191176468,0.005000000
